Ubicacion,maquina_id,Fecha,UPC,Aceptada,Participante
Ojeda,T15,"2021-12-17 09:47:00",8480000280886,0,008d774b-1527-467b-8be9-e2a23a6ac097
Ojeda,T15,"2021-12-17 09:47:00",8410297112041,1,2010007697347
Ojeda,T15,"2021-12-17 09:47:00",8410494301392,1,2010007697347
Ojeda,T15,"2021-12-17 09:47:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:47:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:47:00",8410494301392,1,2010007697347
Ojeda,T15,"2021-12-17 09:47:00",8410494301392,1,2010007697347
Ojeda,T15,"2021-12-17 09:47:00",8410494301392,1,2010007697347
Ojeda,T15,"2021-12-17 09:47:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:47:00",8410297112041,1,2010007697347
Ojeda,T15,"2021-12-17 09:47:00",8410297112041,1,2010007697347
Ojeda,T15,"2021-12-17 09:48:00",84116345,1,2010007697347
Ojeda,T15,"2021-12-17 09:48:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:48:00",8410494301392,1,2010007697347
Ojeda,T15,"2021-12-17 09:48:00",8410494301392,1,2010007697347
Ojeda,T15,"2021-12-17 09:48:00",8410494301392,1,2010007697347
Ojeda,T15,"2021-12-17 09:48:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:49:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:49:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:49:00",8410297112041,1,2010007697347
Ojeda,T15,"2021-12-17 09:49:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:49:00",8410297012150,1,2010007697347
Ojeda,T15,"2021-12-17 09:49:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:49:00",8410297112041,1,2010007697347
Ojeda,T15,"2021-12-17 09:49:00",8410297012150,1,2010007697347
Ojeda,T15,"2021-12-17 09:49:00",8410297112041,1,2010007697347
Ojeda,T15,"2021-12-17 09:50:00",8410297112041,1,2010007697347
Ojeda,T15,"2021-12-17 09:50:00",5449000164957,1,2010007697347
Ojeda,T15,"2021-12-17 09:50:00",8411190101392,0,008d774b-1527-467b-8be9-e2a23a6ac097
Ojeda,T15,"2021-12-17 09:50:00",8410297112041,1,2010007697347
Ojeda,T15,"2021-12-17 09:50:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:50:00",8410494301392,1,2010007697347
Ojeda,T15,"2021-12-17 09:50:00",8425561010039,1,2010007697347
Ojeda,T15,"2021-12-17 09:50:00",8410297112041,1,2010007697347
Ojeda,T15,"2021-12-17 09:51:00",8410055033724,1,2010007697347
Proaza,T65,"2021-12-17 09:54:00",54492653,1,2010005553331
Proaza,T65,"2021-12-17 09:54:00",8410408103708,1,2010005553331
Proaza,T65,"2021-12-17 09:54:00",8410297114830,1,2010005553331
Argentina,T19,"2021-12-17 09:51:00",8480024834836,1,2010009316031
Argentina,T19,"2021-12-17 09:51:00",5449000131843,1,2010009316031
Argentina,T19,"2021-12-17 09:51:00",8410055150018,1,2010009316031
Argentina,T19,"2021-12-17 09:51:00",8480024834836,1,2010009316031
Argentina,T19,"2021-12-17 09:51:00",8410494300722,1,2010009316031
Argentina,T19,"2021-12-17 09:52:00",8410494300050,1,2010009316031
Argañosa,T51,"2021-12-17 09:57:00",8411327122016,1,2010008552409
Argañosa,T51,"2021-12-17 09:57:00",8411327122016,1,2010008552409
Argañosa,T51,"2021-12-17 09:57:00",8411327122016,1,2010008552409
Argañosa,T51,"2021-12-17 09:58:00",8411327122016,1,2010008552409
Argañosa,T51,"2021-12-17 09:58:00",8411327122016,1,2010008552409
Argañosa,T51,"2021-12-17 09:58:00",5449000131836,1,2010008552409
Argañosa,T51,"2021-12-17 09:58:00",5449000131836,1,2010008552409
Argañosa,T51,"2021-12-17 09:58:00",5449000131836,1,2010008552409
Argañosa,T51,"2021-12-17 09:58:00",5449000131836,1,2010008552409
Argañosa,T51,"2021-12-17 09:58:00",5449000131836,1,2010008552409
Argañosa,T51,"2021-12-17 09:58:00",5449000131836,1,2010008552409
Argañosa,T51,"2021-12-17 09:58:00",5449000133724,1,2010008552409
Argañosa,T51,"2021-12-17 09:59:00",8425561010039,1,2010008552409
Argentina,T19,"2021-12-17 09:59:00",5449000000996,1,2010008003383
Argentina,T19,"2021-12-17 09:59:00",5449000000996,1,2010008003383
Argentina,T19,"2021-12-17 09:59:00",5449000000996,1,2010008003383
Argentina,T19,"2021-12-17 09:59:00",8431707094290,1,2010008003383
